,,,,0= No,,,1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,User Input Field,,,,,Autopopulate,,,,,,,,,,,,Extraction Efficiency,,,,,,,Spent % (as is),,,Output % (anhydrous),,,,Decarb % (as is),,,Input % (anhydrous),,
UniqueID,Extraction Date (yyyy/mm/dd),Strain,CBD=1,Lot Number,Extraction Run,Time (mins),Col1/2,PSI,Temp (°C),Program Used 0/1,Mass CO2 Used (lbs),CO2 Used (kg),kg CO2/min,Marble Diffuser (1/0),Notes,massCO2/g THC,massCO2/g CBD,massCO2/g CBN,THC,CBD,CBN,Input Mass (g),Output Spent Mass (g),% Mass Extracted,Spent Moisture,THC,CBD,CBN,THC,CBD,CBN,Decarb Moisture,THC,CBD,CBN,THC,CBD,CBN
70,22/05/2018,TI,,615,3,100,1,5000,65,1,63,28.6,0.286,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
71,31/05/2018,TI,,686,3,100,1,5000,65,1,24.5,11.1,0.111,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
72,31/05/2018,TI,,686,4,100,2,5000,65,1,60,27.3,0.273,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
73,31/05/2018,TI,,686,3,100,1,5000,65,1,34.5,15.7,0.157,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
74,05/06/2018,BW,,692,3,90,1,5000,65,1,40.5,18.4,0.205,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
75,05/06/2018,BW,,692,4,90,2,5000,65,1,54,24.5,0.273,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
76,06/06/2018,BW,,692,7,100,1,5000,65,1,64,29.1,0.291,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
77,06/06/2018,BW,,692,8,100,2,5000,65,1,604,274.5,2.745,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
78,07/06/2018,AD,,691,1,90,1,5000,65,1,58.5,26.6,0.295,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
79,07/06/2018,AD,,691,2,100,2,5000,65,1,44,20,0.2,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
